Species	Status	min_age	max_age
Canis_latrans	extant	0.0117	0.129
Canis_aureus	extant	0	0.0117
Canis	extinct	2.58	3.6
Canis	extinct	2.58	3.6
Canis	extinct	2.58	3.6
Canis	extinct	2.58	3.6
Canis	extinct	1.8	2.58
Canis	extinct	2.58	3.6
Canis	extinct	2.58	3.6
Canis	extinct	2.58	3.6
Canis	extinct	2.58	5.333
Canis	extinct	2.58	3.6
Canis	extinct	2.58	3.6
Canis_aureus	extant	0	2.58
Canis_aureus	extant	0	2.58
Canis_lupaster	extinct	0	2.58
Canis	extinct	0	2.58
Canis_aureus	extant	0	2.58
Canis_lupaster	extinct	0	2.58
Canis_aureus	extant	0.0117	2.58
Canis_aureus	extant	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0.0117	2.58
Canis	extinct	0	2.58
Canis	extinct	2.58	23.03
Canis	extinct	3.6	5.333
Canis_aureus	extant	0.0117	2.58
Canis	extinct	0.0117	2.58
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis_aureus	extant	0.0117	0.129
Canis	extinct	0	2.58
Canis_familiaris	extant	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0.0117	0.774
Canis	extinct	0.0117	0.774
Canis	extinct	0.774	5.333
Canis_aureus	extant	0	2.58
Canis	extinct	0	2.58
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.129
Canis	extinct	0	2.58
Canis	extinct	0	0.0117
Canis	extinct	0.0117	2.58
Canis	extinct	0.0117	0.129
Canis	extinct	0	0.0117
Canis	extinct	2.58	23.03
Canis	extinct	0.0117	2.58
Canis	extinct	0.0117	3.6
Canis	extinct	0.0117	3.6
Canis	extinct	2.58	5.333
Canis	extinct	0.774	2.58
Canis_mosbachensis	extinct	0.774	2.58
Canis_mosbachensis	extinct	0.774	2.58
Canis_mosbachensis	extinct	0.774	2.58
Canis_mosbachensis	extinct	0.774	2.58
Canis_mosbachensis	extinct	0.129	0.774
Canis_lupus	extant	0.0117	2.58
Canis_lupus	extant	0.0117	2.58
Canis	extinct	0.129	0.774
Canis_mosbachensis	extinct	0.0117	2.58
Canis	extinct	2.58	5.333
Canis_latrans	extant	0.0117	0.129
Canis	extinct	0.0117	0.129
Canis	extinct	2.58	5.333
Canis_etruscus	extinct	2.58	5.333
Canis_etruscus	extinct	0.774	2.58
Canis_etruscus	extinct	0.774	2.58
Canis_etruscus	extinct	0.0117	3.1
Canis_arnensis	extinct	0.0117	3.1
Canis	extinct	0.0117	2.58
Canis_arnensis	extinct	0.0117	2.58
Canis_lupus	extant	0.774	2.58
Canis_etruscus	extinct	0.774	2.58
Canis_arnensis	extinct	0.774	2.58
Canis	extinct	0.774	2.58
Canis_arnensis	extinct	0.774	2.58
Canis_apolloniensis	extinct	0.774	2.58
Canis_apolloniensis	extinct	0.774	2.58
Canis_lupus	extant	0.129	2.58
Canis_mosbachensis	extinct	0.0117	2.58
Canis_etruscus	extinct	0.774	2.58
Canis_etruscus	extinct	0.774	2.58
Canis_mosbachensis	extinct	0.0117	2.58
Canis_mosbachensis	extinct	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_etruscus	extinct	2.58	3.1
Canis_etruscus	extinct	0.129	0.774
Canis_troglodytes	extinct	0.129	0.774
Canis_etruscus	extinct	0.0117	5.333
Canis_etruscus	extinct	0.129	1.8
Canis_arnensis	extinct	2.58	3.1
Canis_mosbachensis	extinct	2.58	3.1
Canis_lupus	extant	2.58	3.1
Canis	extinct	2.58	3.1
Canis	extinct	2.58	3.1
Canis	extinct	0.774	2.58
Canis_arnensis	extinct	0.774	2.58
Canis_lupus	extant	0.774	2.58
Canis	extinct	0.774	2.58
Canis_mosbachensis	extinct	0.774	2.58
Canis_mosbachensis	extinct	0.129	0.774
Canis	extinct	0.129	0.774
Canis_lupus	extant	0.129	2.58
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.0117	2.58
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis	extinct	3.6	5.333
Canis	extinct	3.6	5.333
Canis_familiaris	extant	0	2.58
Canis	extinct	0.0117	2.58
Canis_etruscus	extinct	0.0117	2.58
Canis_etruscus	extinct	0.0117	2.58
Canis	extinct	0.774	2.58
Canis_lupus	extant	0.0117	0.129
Canis_lupaster	extinct	0.0117	0.129
Canis_lupaster	extinct	0.0117	2.58
Canis_lupus	extant	0.774	2.58
Canis_aureus	extant	0.774	2.58
Canis	extinct	0.774	2.58
Canis	extinct	0.0117	5.333
Canis_senezensis	extinct	2.58	5.333
Canis_senezensis	extinct	2.58	5.333
Canis_etruscus	extinct	0.774	2.58
Canis_etruscus	extinct	0.774	2.58
Canis_etruscus	extinct	2.58	5.333
Canis	extinct	2.58	5.333
Canis_variabilis	extinct	0.774	2.58
Canis	extinct	2.58	5.333
Canis	extinct	3.1	5.333
Canis	extinct	0.0117	2.58
Canis_lupus	extant	0.0117	0.774
Canis_etruscus	extinct	0.774	2.58
Canis_etruscus	extinct	0.0117	5.333
Canis	extinct	2.58	5.333
Canis	extinct	0.129	0.774
Canis_cipio	extinct	5.333	8.7
Canis_lupus	extant	0.129	0.774
Canis_arnensis	extinct	0.774	2.58
Canis_arnensis	extinct	0.774	2.58
Canis_arnensis	extinct	0.774	2.58
Canis_aureus	extant	0.129	0.774
Canis	extinct	0.129	0.774
Canis_etruscus	extinct	0.774	2.58
Canis_lupus	extant	0.129	0.774
Canis_aureus	extant	0.129	0.774
Canis_mosbachensis	extinct	0.129	0.774
Canis	extinct	0.0117	0.774
Canis_lupus	extant	0.0117	0.774
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.774	2.58
Canis	extinct	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis	extinct	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis	extinct	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.0117	2.58
Canis	extinct	0.0117	2.58
Canis	extinct	0.0117	0.774
Canis_lupus	extant	0.129	0.774
Canis	extinct	0.129	0.774
Canis	extinct	0.129	0.774
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.0117	0.774
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.0117	2.58
Canis_etruscus	extinct	0.774	2.58
Canis_etruscus	extinct	0.774	2.58
Canis	extinct	0.0117	5.333
Canis	extinct	2.58	3.2
Canis_megamastoides	extinct	2.58	3.2
Canis_etruscus	extinct	2.58	3.2
Canis	extinct	1.8	2.58
Canis	extinct	0.774	2.58
Canis_etruscus	extinct	0.774	2.58
Canis_etruscus	extinct	0.774	2.58
Canis_lupus	extant	0.0117	0.129
Canis	extinct	0.774	2.58
Canis_etruscus	extinct	0.129	0.774
Canis_etruscus	extinct	0.129	0.774
Canis_etruscus	extinct	0.129	0.774
Canis_etruscus	extinct	0.129	0.774
Canis_etruscus	extinct	0.129	0.774
Canis_etruscus	extinct	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_etruscus	extinct	0.129	0.774
Canis	extinct	0.129	0.774
Canis	extinct	0.129	0.774
Canis_etruscus	extinct	0.0117	5.333
Canis_arnensis	extinct	0.0117	5.333
Canis_etruscus	extinct	1.8	2.58
Canis	extinct	0.774	2.58
Canis_mosbachensis	extinct	0.774	1.8
Canis_etruscus	extinct	1.8	2.58
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.0117	2.58
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis	extinct	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_etruscus	extinct	0.774	2.58
Canis_etruscus	extinct	0.129	2.58
Canis_lupus	extant	0.774	2.58
Canis	extinct	4.2	4.9
Canis	extinct	4.2	4.9
Canis	extinct	3.2	4.9
Canis	extinct	3.2	4.2
Canis	extinct	3.2	4.2
Canis	extinct	3.2	4.2
Canis	extinct	4.2	4.9
Canis	extinct	4.2	4.9
Canis	extinct	1.8	2.58
Canis_lupus	extant	0.129	0.774
Canis	extinct	0.0117	5.333
Canis	extinct	0.774	2.58
Canis_lupus	extant	0	0.0117
Canis_etruscus	extinct	0.0117	5.333
Canis_lupus	extant	0	0.0117
Canis	extinct	0.0117	0.129
Canis	extinct	0.0117	0.129
Canis	extinct	0	0.129
Canis	extinct	1.4	4.7
Canis_tarijensis	extinct	0.774	2.58
Canis_variabilis	extinct	0.774	2.58
Canis_latrans	extant	0	0.129
Canis	extinct	0.774	2.58
Canis_latrans	extant	0.0117	0.129
Canis	extinct	0.0117	0.129
Canis_familiaris	extant	0	0.0117
Canis	extinct	0.0117	0.129
Canis	extinct	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis_latrans	extant	0.0117	0.129
Canis_lupus	extant	0.129	0.774
Canis	extinct	0.0117	0.129
Canis_latrans	extant	0	0.0117
Canis_latrans	extant	0.0117	0.129
Canis_borjgali	extinct	0.774	2.58
Canis_latrans	extant	0.0117	0.129
Canis_lupus	extant	2.58	3.6
Canis	extinct	2.58	3.6
Canis	extinct	2.58	4.2
Canis	extinct	1.8	2.58
Canis_etruscus	extinct	1.8	2.58
Canis_lupus	extant	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_latrans	extant	0	0.0117
Canis_latrans	extant	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_armbrusteri	extinct	0.21	1.4
Canis_aureus	extant	0	0.0117
Canis	extinct	0.0117	0.129
Canis	extinct	0.0117	0.129
Canis_rufus	extant	0.0117	2.58
Canis_lupus	extant	0.0117	0.129
Canis	extinct	0.0117	0.129
Canis_familiaris	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis_variabilis	extinct	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis	extinct	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_latrans	extant	0	0.129
Canis_lupus	extant	0	0.129
Canis_lupus	extant	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_latrans	extant	0	0.129
Canis_lupus	extant	0	0.129
Canis_latrans	extant	0.0117	0.129
Canis	extinct	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_lupus	extant	0.0117	2.58
Canis	extinct	0.0117	0.774
Canis	extinct	0	2.58
Canis	extinct	2.58	23.03
Canis_etruscus	extinct	2.58	5.333
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis	extinct	0	0.129
Canis_latrans	extant	0.0117	0.129
Canis	extinct	0.0117	0.129
Canis_familiaris	extant	0	0.0117
Canis	extinct	0.0117	2.58
Canis_familiaris	extant	0	0.0117
Canis	extinct	0	0.129
Canis_lupus	extant	0	0.129
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0	0.129
Canis	extinct	2.58	7.246
Canis	extinct	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_familiaris	extant	0	0.0117
Canis	extinct	0	0.0117
Canis_latrans	extant	0.0117	0.129
Canis	extinct	0.21	1.4
Canis_armbrusteri	extinct	0.21	1.4
Canis_rufus	extant	0.21	1.4
Canis_proplatensis	extinct	0.774	2.58
Canis	extinct	0.0117	0.3
Canis_armbrusteri	extinct	0.0117	0.129
Canis_lupus	extant	0.014	0.21
Canis_lupus	extant	0.014	0.21
Canis_latrans	extant	0.014	0.21
Canis_latrans	extant	0.014	0.21
Canis_latrans	extant	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_rufus	extant	0.0117	0.129
Canis_familiaris	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	0.014	4.7
Canis_edwardii	extinct	1.4	4.7
Canis_edwardii	extinct	1.4	4.7
Canis_edwardii	extinct	1.4	4.7
Canis_edwardii	extinct	1.4	4.7
Canis_edwardii	extinct	0.21	1.4
Canis_edwardii	extinct	0.21	1.4
Canis_edwardii	extinct	0.21	1.4
Canis_edwardii	extinct	0.21	1.4
Canis_edwardii	extinct	0.21	1.4
Canis_edwardii	extinct	0.21	1.4
Canis_edwardii	extinct	0.21	1.4
Canis_edwardii	extinct	0.21	1.4
Canis_edwardii	extinct	1.4	4.7
Canis_latrans	extant	0.21	1.4
Canis_latrans	extant	0.21	1.4
Canis_latrans	extant	0.21	1.4
Canis_armbrusteri	extinct	0.21	1.4
Canis_latrans	extant	0.21	1.4
Canis_lupus	extant	0	0.0117
Canis_latrans	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis	extinct	0	0.0117
Canis_lupus	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis	extinct	0	0.0117
Canis_lupus	extant	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis_etruscus	extinct	0.774	11.63
Canis_arnensis	extinct	0.0117	2.58
Canis_lupus	extant	0.0117	0.129
Canis_accitanus	extinct	1.8	2.58
Canis_armbrusteri	extinct	0.774	1.8
Canis_familiaris	extant	0	0.0117
Canis_lupus	extant	0	0.129
Canis_etruscus	extinct	0.774	2.58
Canis_etruscus	extinct	0.774	2.58
Canis_familiaris	extant	0.774	2.58
Canis	extinct	0.774	2.58
Canis	extinct	0.0117	2.58
Canis_familiaris	extant	0	0.0117
Canis_lupus	extant	0.0117	0.774
Canis_familiaris	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis	extinct	0.129	0.774
Canis_familiaris	extant	0	0.0117
Canis_lupus	extant	0.0117	0.129
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis_lupus	extant	0	0.0117
Canis	extinct	0	0.129
Canis_latrans	extant	0.014	0.21
Canis	extinct	0.21	1.4
Canis_othmanii	extinct	0.129	0.774
Canis_lepophagus	extinct	0.774	3.6
Canis	extinct	0.0117	0.129
Canis_chihliensis	extinct	0.774	2.58
Canis_mosbachensis	extinct	0.0117	2.58
Canis_mosbachensis	extinct	0.774	2.58
Canis_mosbachensis	extinct	0.774	2.58
Canis_familiaris	extant	0.0117	2.58
Canis_mosbachensis	extinct	0	0.774
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_mosbachensis	extinct	0.774	2.58
Canis_etruscus	extinct	2.58	3.6
Canis_lupaster	extinct	0.774	2.58
Canis	extinct	0.0117	0.129
Canis_lupus	extant	0.0117	2.58
Canis_lupus	extant	0.0117	2.58
Canis_gezi	extinct	0.3	1.7
Canis	extinct	0.129	0.774
Canis	extinct	0.774	2.58
Canis_lupus	extant	0.0117	0.129
Canis	extinct	0.0117	0.129
Canis	extinct	0.774	2.58
Canis_lupus	extant	0.0117	0.129
Canis	extinct	0.774	2.58
Canis_lepophagus	extinct	0.774	2.58
Canis	extinct	0.21	1.4
Canis_latrans	extant	0.0117	2.58
Canis_latrans	extant	0.014	0.21
Canis_latrans	extant	0.0117	0.129
Canis	extinct	0.0117	2.58
Canis	extinct	0.0117	2.58
Canis_lupus	extant	0.0117	0.129
Canis	extinct	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_aureus	extant	0	0.0117
Canis_aureus	extant	0	0.0117
Canis_lupus	extant	0	0.0117
Canis_latrans	extant	0.014	0.21
Canis_latrans	extant	0.0117	2.58
Canis_lupus	extant	0.0117	2.58
Canis	extinct	0.0117	0.129
Canis_lupus	extant	0	0.0117
Canis_lupus	extant	0	0.0117
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.129	0.774
Canis_lupus	extant	0.129	0.774
Canis_familiaris	extant	0	0.0117
Canis_lupus	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis_etruscus	extinct	0.0117	2.58
Canis_familiaris	extant	0	0.0117
Canis_latrans	extant	0.014	0.21
Canis_lupus	extant	0.0117	0.129
Canis	extinct	0.0117	2.58
Canis	extinct	0.0117	0.129
Canis_familiaris	extant	0.0117	2.58
Canis_lupus	extant	0.0117	0.129
Canis_lupus	extant	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis_lupus	extant	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis	extinct	0	0.0117
Canis_lupus	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis_familiaris	extant	0	0.0117
Canis_hewitti	extinct	0.0117	3.6
Canis	extinct	0.774	2.58
Canis_lupus	extant	0.0117	0.129
Canis_latrans	extant	0.0117	0.129
Canis_lupus	extant	0	0.0117
Canis_vetulus	extinct	0.0117	2.58
Canis_incertus	extinct	0.0117	2.58
Canis_geismarianus	extinct	18.5	29.5
Canis_mosbachensis	extinct	0.129	0.774
Canis_lupus	extant	0.0117	0.129
Canis_aureus	extant	0.129	0.774
Canis_aureus	extant	0.129	0.774
Canis_aureus	extant	0.0117	0.129
Canis_aureus	extant	0	0.0117
Canis_longdanensis	extinct	0.774	2.58
Canis_teilhardi	extinct	0.774	2.58
Canis_michauxi	extinct	2.58	5.333
Canis_adoxus	extinct	2.58	5.333
Canis_senezensis	extinct	0.0117	5.333
Canis_chihliensis	extinct	0.774	3.6
Canis_palmidens	extinct	0.774	3.6
Canis_proplatensis	extinct	0.774	2.58
Canis_gezi	extinct	0.3	1.7
Canis_gezi	extinct	0.3	3.7
Canis_variabilis	extinct	0.129	0.774
Canis_mosbachensis_variabilis	extinct	0.129	0.774
Canis_feneus	extinct	0.21	1.4
Canis_simensis	extinct	0.774	1.8
Canis_lupus	extant	0	0.0117
