scientificName	earliestAge	latestAge	decimalLongitude	decimalLatitude
Posidonia	326.4	318.1	-2.6	54.083332
Posidonia	326.4	318.1	-2.466667	54.083332
Posidonia	326.4	318.1	-2.466667	54.083332
Posidonia	326.4	318.1	-2.683333	54.033333
Posidonia	326.4	318.1	-2.683333	54.033333
Posidonia	326.4	318.1	-2.633333	54.016666
Posidonia	326.4	318.1	-2.633333	54.016666
Posidonia	326.4	318.1	-2.533333	53.799999
Posidonia	326.4	318.1	-2.533333	53.799999
Posidonia	326.4	318.1	-1.483333	52.966667
Posidonia	326.4	318.1	-1.483333	52.966667
Posidonia	326.4	318.1	-1.633333	53.066666
Posidonia	326.4	318.1	-1.633333	53.066666
Ficus	28.1	23.03	9.75	56.166668
Abies	33.9	5.333	-113.116669	45.150002
Sequoia	33.9	5.333	-113.116669	45.150002
Acer	33.9	5.333	-113.116669	45.150002
Acer	33.9	5.333	-113.116669	45.150002
Cercidiphyllum	33.9	5.333	-113.116669	45.150002
Cercis	33.9	5.333	-113.116669	45.150002
Corylus	33.9	5.333	-113.116669	45.150002
Koelreuteria	33.9	5.333	-113.116669	45.150002
Juniperus	23.03	5.333	-113.216667	45
Crataegus	23.03	5.333	-113.216667	45
Dalbergia	23.03	5.333	-113.216667	45
Ulmus	23.03	5.333	-113.216667	45
Metasequoia	23.03	5.333	-113.216667	45
Betula	55.8	50.3	-103.25	45.5
Equisetum	55.8	50.3	-103.25	45.5
Glyptostrobus	55.8	50.3	-103.25	45.5
Platycarya	55.8	50.3	-103.25	45.5
Lygodium	55.8	50.3	-103.25	45.5
Platycarya	55.8	50.3	-103.25	45.5
Platycarya	55.8	50.3	-103.25	45.5
Salvinia	55.8	50.3	-103.25	45.5
Sparganium	55.8	50.3	-103.25	45.5
Stillingia	55.8	50.3	-103.25	45.5
Meliosma	66	50.3	-102.091393	47.248611
Acer	56.8	55.8	-102.783333	46.883331
Cercidiphyllum	56.8	55.8	-102.783333	46.883331
Equisetum	56.8	55.8	-102.783333	46.883331
Pinus	56.8	55.8	-102.783333	46.883331
Cornus	56.8	55.8	-102.783333	46.883331
Dombeya	66	50.3	-102	46.983334
Hemitelia	66	50.3	-102	46.983334
Salvinia	66	50.3	-102	46.983334
Meliosma	66	50.3	-102.050003	47.983334
Platycarya	66	50.3	-102.050003	47.983334
Salvinia	66	50.3	-102.050003	47.983334
Sparganium	66	50.3	-102.050003	47.983334
Cercidiphyllum	56.8	55.8	-102.050003	46.983334
Equisetum	56.8	55.8	-102.050003	46.983334
Glyptostrobus	56.8	55.8	-102.050003	46.983334
Metasequoia	56.8	55.8	-102.050003	46.983334
Sparganium	56.8	55.8	-102.050003	46.983334
Carya	56.8	55.8	-102.083336	46.916668
Cercidiphyllum	56.8	55.8	-102.083336	46.916668
Equisetum	56.8	55.8	-102.083336	46.916668
Meliosma	56.8	55.8	-102.083336	46.916668
Cercidiphyllum	56.8	55.8	-102.083336	46.916668
Ampelopsis	56.8	55.8	-102.112503	47.306389
Corylus	56.8	55.8	-102.112503	47.306389
Glyptostrobus	56.8	55.8	-102.112503	47.306389
Meliosma	56.8	55.8	-102.112503	47.306389
Metasequoia	56.8	55.8	-102.112503	47.306389
Osmunda	56.8	55.8	-102.112503	47.306389
Trapa	56.8	55.8	-102.112503	47.306389
Viburnum	56.8	55.8	-102.112503	47.306389
Ampelopsis	56.8	55.8	-101.550003	47
Cercidiphyllum	56.8	55.8	-101.550003	47
Corylus	56.8	55.8	-101.550003	47
Equisetum	56.8	55.8	-101.550003	47
Glyptostrobus	56.8	55.8	-101.550003	47
Metasequoia	56.8	55.8	-101.550003	47
Cercidiphyllum	55.8	50.3	-101.550003	47
Cornus	55.8	50.3	-101.550003	47
Metasequoia	55.8	50.3	-101.550003	47
Onoclea	55.8	50.3	-101.550003	47
Carya	55.8	50.3	-102.75	46.75
Metasequoia	55.8	50.3	-102.75	46.75
Viburnum	55.8	50.3	-102.75	46.75
Ampelopsis	56.8	55.8	-101.816666	47.133331
Metasequoia	56.8	55.8	-101.816666	47.133331
Cercidiphyllum	56.8	55.8	-102.084442	46.971668
Cocculus	56.8	55.8	-102.084442	46.971668
Meliosma	56.8	55.8	-102.084442	46.971668
Metasequoia	56.8	55.8	-102.084442	46.971668
Onoclea	56.8	55.8	-102.084442	46.971668
Osmunda	56.8	55.8	-102.084442	46.971668
Acer	56.8	55.8	-102.583336	46.916668
Cercidiphyllum	56.8	55.8	-102.583336	46.916668
Cocculus	56.8	55.8	-102.583336	46.916668
Meliosma	56.8	55.8	-102.583336	46.916668
Metasequoia	56.8	55.8	-102.583336	46.916668
Pinus	56.8	55.8	-102.583336	46.916668
Pterocarya	56.8	55.8	-102.583336	46.916668
Cercidiphyllum	56.8	55.8	-102.666664	47
Cocculus	56.8	55.8	-102.666664	47
Glyptostrobus	56.8	55.8	-102.666664	47
Meliosma	56.8	55.8	-102.666664	47
Metasequoia	56.8	55.8	-102.666664	47
Nelumbo	55.8	50.3	-102.616669	46.966667
Nelumbo	66	50.3	-102.666664	46.983334
Dombeya	55.8	50.3	-102.833336	47.166668
Lygodium	55.8	50.3	-102.833336	47.166668
Nelumbo	55.8	50.3	-102.833336	47.166668
Salvinia	55.8	50.3	-102.833336	47.166668
Sparganium	55.8	50.3	-102.833336	47.166668
Ampelopsis	55.8	50.3	-102.833336	47.083332
Dombeya	55.8	50.3	-102.833336	47.083332
Lygodium	55.8	50.3	-102.833336	47.083332
Salvinia	55.8	50.3	-102.833336	47.083332
Sparganium	55.8	50.3	-102.833336	47.083332
Stillingia	55.8	50.3	-102.833336	47.083332
Acer	56.8	55.8	-102.666664	46.966667
Cocculus	56.8	55.8	-102.666664	46.966667
Meliosma	56.8	55.8	-102.666664	46.966667
Metasequoia	56.8	55.8	-102.666664	46.966667
Platanus	56.8	55.8	-102.666664	46.966667
Nelumbo	55.8	50.3	-101.949997	47.383331
Salvinia	55.8	50.3	-101.949997	47.383331
Metasequoia	56.8	55.8	-102.722221	48.479721
Corylus	66	50.3	-102.75	47.616669
Kalmia	66	50.3	-102.75	47.616669
Metasequoia	66	50.3	-102.75	47.616669
Salvinia	55.8	50.3	-102.816666	47
Cercidiphyllum	56.8	55.8	-102.76667	47.816666
Corylus	56.8	55.8	-102.76667	47.816666
Glyptostrobus	56.8	55.8	-102.76667	47.816666
Metasequoia	56.8	55.8	-102.76667	47.816666
Equisetum	56.8	55.8	-102.98333	47.099998
Meliosma	56.8	55.8	-102.98333	47.099998
Cercidiphyllum	56.8	55.8	-103.01667	47.366669
Corylus	56.8	55.8	-103.01667	47.366669
Meliosma	56.8	55.8	-103.01667	47.366669
Metasequoia	56.8	55.8	-103.01667	47.366669
Osmunda	56.8	55.8	-103.01667	47.366669
Cercidiphyllum	56.8	55.8	-103.2575	47.377499
Metasequoia	56.8	55.8	-103.2575	47.377499
Viburnum	56.8	55.8	-103.2575	47.377499
Osmunda	23.03	5.333	-113.216667	45
Araucaria	145	136.4	25.5	-33.5
Dipteronia	33.9	5.333	-113.116669	45.150002
Mahonia	33.9	5.333	-113.116669	45.150002
Mahonia	33.9	5.333	-113.116669	45.150002
Mahonia	33.9	5.333	-113.116669	45.150002
Paliurus	33.9	5.333	-113.116669	45.150002
Ostrya	33.9	5.333	-113.116669	45.150002
Quercus	33.9	5.333	-113.116669	45.150002
Quercus	33.9	5.333	-113.116669	45.150002
Quercus	33.9	5.333	-113.116669	45.150002
Quercus	33.9	5.333	-113.116669	45.150002
Rosa	33.9	5.333	-113.116669	45.150002
Salix	33.9	5.333	-113.116669	45.150002
Ulmus	33.9	5.333	-113.116669	45.150002
Alnus	55.8	50.3	-108	44
Platycarya	55.8	50.3	-108	44
Lygodium	55.8	50.3	-108	44
Platycarya	55.8	50.3	-108	44
Dalbergia	55.8	50.3	-108.59848	44.192894
Platanus	55.8	50.3	-108.59848	44.192894
Platanus	55.8	50.3	-108.539902	44.169678
Lygodium	55.8	50.3	-108.551552	44.157372
Platycarya	55.8	50.3	-108.551552	44.157372
Thelypteris	55.8	50.3	-108.551552	44.157372
Alnus	55.8	50.3	-108.483246	44.174152
Dombeya	55.8	50.3	-108.483246	44.174152
Lygodium	55.8	50.3	-108.483246	44.174152
Platycarya	55.8	50.3	-108.483246	44.174152
Thelypteris	55.8	50.3	-108.483246	44.174152
Alnus	55.8	50.3	-108.480972	44.172279
Platycarya	55.8	50.3	-108.480972	44.172279
Thelypteris	55.8	50.3	-108.480972	44.172279
Alnus	55.8	50.3	-108.484802	44.172588
Lygodium	55.8	50.3	-108.484802	44.172588
Ampelopsis	61.7	56.8	-109	45
Cercidiphyllum	61.7	56.8	-109	45
Fraxinus	61.7	56.8	-109	45
Pterocarya	61.7	56.8	-109	45
Ulmus	61.7	56.8	-109	45
Viburnum	61.7	56.8	-109	45
Viburnum	61.7	56.8	-109	45
Cercidiphyllum	63.3	61.7	-109	45
Equisetum	63.3	61.7	-109	45
Rhamnus	63.3	61.7	-109	45
Ampelopsis	61.7	56.8	-109	45
Carya	61.7	56.8	-109	45
Cercidiphyllum	61.7	56.8	-109	45
Crataegus	61.7	56.8	-109	45
Glyptostrobus	61.7	56.8	-109	45
Metasequoia	61.7	56.8	-109	45
Viburnum	61.7	56.8	-109	45
Viburnum	61.7	56.8	-109	45
Cercidiphyllum	66	63.3	-109	45
Metasequoia	66	63.3	-109	45
Vitis	66	63.3	-109	45
Carya	66	63.3	-109	45
Metasequoia	66	63.3	-109	45
Nelumbo	66	63.3	-109	45
Taxodium	66	63.3	-109	45
Alnus	55.8	50.3	-108.050934	44.291939
Ampelopsis	55.8	50.3	-108.050934	44.291939
Cercidiphyllum	55.8	50.3	-108.050934	44.291939
Equisetum	55.8	50.3	-108.050934	44.291939
Glyptostrobus	55.8	50.3	-108.050934	44.291939
Meliosma	55.8	50.3	-108.050934	44.291939
Platanus	55.8	50.3	-108.050934	44.291939
Populus	55.8	50.3	-108.050934	44.291939
Alnus	55.8	50.3	-108.050812	44.292278
Ampelopsis	55.8	50.3	-108.050812	44.292278
Equisetum	55.8	50.3	-108.050812	44.292278
Glyptostrobus	55.8	50.3	-108.050812	44.292278
Meliosma	55.8	50.3	-108.050812	44.292278
Populus	55.8	50.3	-108.050812	44.292278
Alnus	55.8	50.3	-108.051331	44.292519
Ampelopsis	55.8	50.3	-108.051331	44.292519
Glyptostrobus	55.8	50.3	-108.051331	44.292519
Meliosma	55.8	50.3	-108.051331	44.292519
Platanus	55.8	50.3	-108.051331	44.292519
Populus	55.8	50.3	-108.051331	44.292519
Salvinia	55.8	50.3	-108.051331	44.292519
Alnus	55.8	50.3	-108.051041	44.28474
Equisetum	55.8	50.3	-108.051041	44.28474
Glyptostrobus	55.8	50.3	-108.051041	44.28474
Carya	66	63.3	-109	45
Cercidiphyllum	66	63.3	-109	45
Glyptostrobus	66	63.3	-109	45
Populus	66	63.3	-109	45
Ampelopsis	61.7	56.8	-109	45
Cercidiphyllum	61.7	56.8	-109	45
Glyptostrobus	61.7	56.8	-109	45
Magnolia	61.7	56.8	-109	45
Meliosma	61.7	56.8	-109	45
Metasequoia	61.7	56.8	-109	45
Viburnum	61.7	56.8	-109	45
Alnus	55.8	50.3	-108.051941	44.282421
Equisetum	55.8	50.3	-108.051941	44.282421
Glyptostrobus	55.8	50.3	-108.051941	44.282421
Lygodium	55.8	50.3	-108.051941	44.282421
Alnus	55.8	50.3	-108.051003	44.28429
Equisetum	55.8	50.3	-108.051003	44.28429
Glyptostrobus	55.8	50.3	-108.051003	44.28429
Alnus	55.8	50.3	-108.557671	44.17458
Dalbergia	55.8	50.3	-108.557671	44.17458
Dombeya	55.8	50.3	-108.557671	44.17458
Glyptostrobus	55.8	50.3	-108.557671	44.17458
Lygodium	55.8	50.3	-108.557671	44.17458
Platycarya	55.8	50.3	-108.557671	44.17458
Alnus	55.8	50.3	-108.557701	44.174599
Dombeya	55.8	50.3	-108.557701	44.174599
Glyptostrobus	55.8	50.3	-108.557701	44.174599
Lygodium	55.8	50.3	-108.557701	44.174599
Platycarya	55.8	50.3	-108.557701	44.174599
Alnus	55.8	50.3	-108.557701	44.174599
Dombeya	55.8	50.3	-108.557701	44.174599
Glyptostrobus	55.8	50.3	-108.557701	44.174599
Lygodium	55.8	50.3	-108.557701	44.174599
Platycarya	55.8	50.3	-108.557701	44.174599
Thelypteris	55.8	50.3	-108.557701	44.174599
Alnus	55.8	50.3	-108.557701	44.174599
Dombeya	55.8	50.3	-108.557701	44.174599
Glyptostrobus	55.8	50.3	-108.557701	44.174599
Lygodium	55.8	50.3	-108.557701	44.174599
Platycarya	55.8	50.3	-108.557701	44.174599
Acer	56.8	55.8	-109	45
Ampelopsis	56.8	55.8	-109	45
Carya	56.8	55.8	-109	45
Cercidiphyllum	56.8	55.8	-109	45
Glyptostrobus	56.8	55.8	-109	45
Metasequoia	56.8	55.8	-109	45
Viburnum	56.8	55.8	-109	45
Alnus	55.8	50.3	-108	44
Cercidiphyllum	55.8	50.3	-108	44
Dombeya	55.8	50.3	-108	44
Metasequoia	55.8	50.3	-108	44
Ulmus	55.8	50.3	-108	44
Alnus	55.8	50.3	-108	44
Cercidiphyllum	55.8	50.3	-108	44
Dombeya	55.8	50.3	-108	44
Equisetum	55.8	50.3	-108	44
Glyptostrobus	55.8	50.3	-108	44
Salvinia	55.8	50.3	-108	44
Cercidiphyllum	63.3	61.7	-109	45
Glyptostrobus	63.3	61.7	-109	45
Metasequoia	63.3	61.7	-109	45
Taxodium	63.3	61.7	-109	45
Ampelopsis	56.8	55.8	-109	45
Carya	56.8	55.8	-109	45
Cercidiphyllum	56.8	55.8	-109	45
Cornus	56.8	55.8	-109	45
Cornus	56.8	55.8	-109	45
Glyptostrobus	56.8	55.8	-109	45
Metasequoia	56.8	55.8	-109	45
Pterocarya	56.8	55.8	-109	45
Stillingia	56.8	55.8	-109	45
Ulmus	56.8	55.8	-109	45
Viburnum	56.8	55.8	-109	45
Alnus	55.8	50.3	-108.593681	44.182018
Dombeya	55.8	50.3	-108.593681	44.182018
Equisetum	55.8	50.3	-108.593681	44.182018
Glyptostrobus	55.8	50.3	-108.593681	44.182018
Platycarya	55.8	50.3	-108.593681	44.182018
Thelypteris	55.8	50.3	-108.593681	44.182018
Glyptostrobus	56.8	55.8	-109	45
Metasequoia	56.8	55.8	-109	45
Viburnum	56.8	55.8	-109	45
Alnus	56.8	55.8	-108.061699	44.35767
Metasequoia	56.8	55.8	-108.061699	44.35767
Meliosma	55.8	50.3	-108.250458	44.512508
Metasequoia	55.8	50.3	-108.250458	44.512508
Cercidiphyllum	55.8	50.3	-109	44
Platanus	55.8	50.3	-109	44
Cercidiphyllum	66	63.3	-108.052246	44.297901
Metasequoia	66	63.3	-108.052246	44.297901
Azolla	55.8	50.3	-108.052132	44.298218
Cercidiphyllum	55.8	50.3	-108.052132	44.298218
Platanus	55.8	50.3	-108.052132	44.298218
Platanus	55.8	50.3	-108.052132	44.298218
Populus	55.8	50.3	-108.052132	44.298218
Salvinia	55.8	50.3	-108.052132	44.298218
Spirodela	55.8	50.3	-108.052132	44.298218
Cercidiphyllum	61.7	56.8	-109	45
Glyptostrobus	61.7	56.8	-109	45
Magnolia	61.7	56.8	-109	45
Meliosma	61.7	56.8	-109	45
Metasequoia	61.7	56.8	-109	45
Nyssa	61.7	56.8	-109	45
Viburnum	61.7	56.8	-109	45
Cercidiphyllum	61.7	56.8	-109	45
Crataegus	61.7	56.8	-109	45
Glyptostrobus	61.7	56.8	-109	45
Viburnum	61.7	56.8	-109	45
Viburnum	61.7	56.8	-109	45
Alnus	55.8	50.3	-107	44
Equisetum	55.8	50.3	-107	44
Glyptostrobus	55.8	50.3	-107	44
Salvinia	55.8	50.3	-107	44
Alnus	55.8	50.3	-107	44
Equisetum	55.8	50.3	-107	44
Glyptostrobus	55.8	50.3	-107	44
Lygodium	55.8	50.3	-107	44
Alnus	55.8	50.3	-107	44
Equisetum	55.8	50.3	-107	44
Glyptostrobus	55.8	50.3	-107	44
Cercidiphyllum	66	63.3	-109	45
Equisetum	66	63.3	-109	45
Glyptostrobus	66	63.3	-109	45
Rhamnus	66	63.3	-109	45
Taxodium	66	63.3	-109	45
Vitis	66	63.3	-109	45
Ampelopsis	63.3	61.7	-109	45
Cercidiphyllum	63.3	61.7	-109	45
Metasequoia	63.3	61.7	-109	45
Taxodium	63.3	61.7	-109	45
Vitis	63.3	61.7	-109	45
Ampelopsis	66	63.3	-109	45
Cercidiphyllum	66	63.3	-109	45
Cocculus	66	63.3	-109	45
Glyptostrobus	66	63.3	-109	45
Metasequoia	66	63.3	-109	45
Onoclea	66	63.3	-109	45
Populus	66	63.3	-109	45
Viburnum	66	63.3	-109	45
Cercidiphyllum	55.8	50.3	-107	44
Dombeya	55.8	50.3	-107	44
Equisetum	55.8	50.3	-107	44
Glyptostrobus	55.8	50.3	-107	44
Meliosma	55.8	50.3	-107	44
Platanus	55.8	50.3	-107	44
Populus	55.8	50.3	-107	44
Salvinia	55.8	50.3	-107	44
Ampelopsis	56.8	55.8	-109.030296	44.907291
Cercidiphyllum	56.8	55.8	-109.030296	44.907291
Equisetum	56.8	55.8	-109.030296	44.907291
Glyptostrobus	56.8	55.8	-109.030296	44.907291
Metasequoia	56.8	55.8	-109.030296	44.907291
Ampelopsis	56.8	55.8	-109	44
Carya	56.8	55.8	-109	44
Cercidiphyllum	56.8	55.8	-109	44
Equisetum	56.8	55.8	-109	44
Glyptostrobus	56.8	55.8	-109	44
Metasequoia	56.8	55.8	-109	44
Sassafras	56.8	55.8	-109	44
Viburnum	56.8	55.8	-109	44
Acer	56.8	55.8	-109	44
Ampelopsis	56.8	55.8	-109	44
Betula	56.8	55.8	-109	44
Carya	56.8	55.8	-109	44
Cercidiphyllum	56.8	55.8	-109	44
Corylus	56.8	55.8	-109	44
Equisetum	56.8	55.8	-109	44
Fraxinus	56.8	55.8	-109	44
Metasequoia	56.8	55.8	-109	44
Platanus	56.8	55.8	-109	44
Populus	56.8	55.8	-109	44
Viburnum	56.8	55.8	-109	44
Viburnum	56.8	55.8	-109	44
Acer	56.8	55.8	-109	44
Fraxinus	56.8	55.8	-109	44
Acer	56.8	55.8	-109	44
Betula	56.8	55.8	-109	44
Carya	56.8	55.8	-109	44
Cercidiphyllum	56.8	55.8	-109	44
Magnolia	56.8	55.8	-109	44
Metasequoia	56.8	55.8	-109	44
Nyssa	56.8	55.8	-109	44
Viburnum	56.8	55.8	-109	44
Acer	56.8	55.8	-109	44
Ampelopsis	56.8	55.8	-109	44
Cercidiphyllum	56.8	55.8	-109	44
Cinnamomum	56.8	55.8	-109	44
Glyptostrobus	56.8	55.8	-109	44
Magnolia	56.8	55.8	-109	44
Metasequoia	56.8	55.8	-109	44
Platanus	56.8	55.8	-109	44
Sassafras	56.8	55.8	-109	44
Viburnum	56.8	55.8	-109	44
Carya	56.8	55.8	-109	44
Cercidiphyllum	56.8	55.8	-109	44
Equisetum	56.8	55.8	-109	44
Glyptostrobus	56.8	55.8	-109	44
Meliosma	56.8	55.8	-109	44
Platanus	56.8	55.8	-109	44
Acer	56.8	55.8	-109	44
Betula	56.8	55.8	-109	44
Cercidiphyllum	56.8	55.8	-109	44
Glyptostrobus	56.8	55.8	-109	44
Metasequoia	56.8	55.8	-109	44
Ampelopsis	56.8	55.8	-108.333336	44.5
Carya	56.8	55.8	-108.333336	44.5
Cercidiphyllum	56.8	55.8	-108.333336	44.5
Cornus	56.8	55.8	-108.333336	44.5
Corylus	56.8	55.8	-108.333336	44.5
Magnolia	56.8	55.8	-108.333336	44.5
Metasequoia	56.8	55.8	-108.333336	44.5
Nyssa	56.8	55.8	-108.333336	44.5
Sassafras	56.8	55.8	-108.333336	44.5
Ulmus	56.8	55.8	-108.333336	44.5
Viburnum	56.8	55.8	-108.333336	44.5
Ampelopsis	56.8	55.8	-109	44
Carya	56.8	55.8	-109	44
Cercidiphyllum	56.8	55.8	-109	44
Glyptostrobus	56.8	55.8	-109	44
Metasequoia	56.8	55.8	-109	44
Sassafras	56.8	55.8	-109	44
Ulmus	56.8	55.8	-109	44
Cinnamomum	56.8	55.8	-109	44
Carya	56.8	55.8	-109	44
Cornus	56.8	55.8	-109	44
Equisetum	56.8	55.8	-109	44
Glyptostrobus	56.8	55.8	-109	44
Ulmus	56.8	55.8	-109	44
Viburnum	56.8	55.8	-109	44
Cercidiphyllum	61.7	56.8	-109	44
Sassafras	61.7	56.8	-109	44
Viburnum	61.7	56.8	-109	44
Betula	56.8	55.8	-109	44
Cercidiphyllum	56.8	55.8	-109	44
Equisetum	56.8	55.8	-109	44
Glyptostrobus	56.8	55.8	-109	44
Metasequoia	56.8	55.8	-109	44
Carya	56.8	55.8	-109	44
Cercidiphyllum	56.8	55.8	-109	44
Equisetum	56.8	55.8	-109	44
Fraxinus	56.8	55.8	-109	44
Glyptostrobus	56.8	55.8	-109	44
Meliosma	56.8	55.8	-109	44
Metasequoia	56.8	55.8	-109	44
Nyssa	56.8	55.8	-109	44
Metasequoia	55.8	50.3	-109	44
Dalbergia	55.8	50.3	-108.597252	44.193111
Ampelopsis	66	63.3	-109	44
Cercidiphyllum	66	63.3	-109	44
Vitis	66	63.3	-109	44
Dalbergia	55.8	50.3	-109	44
Platycarya	55.8	50.3	-109	44
Salvinia	55.8	50.3	-109	44
Platanus	55.8	50.3	-108.047981	44.300949
Populus	55.8	50.3	-108.047981	44.300949
Azolla	55.8	48.6	-109	44
Dalbergia	55.8	48.6	-109	44
Salvinia	55.8	48.6	-109	44
Spirodela	55.8	48.6	-109	44
Platanus	55.8	48.6	-109	44
Platanus	55.8	48.6	-109	44
Populus	55.8	48.6	-109	44
Populus	55.8	48.6	-109	44
Potamogeton	55.8	48.6	-109	44
Thelypteris	55.8	48.6	-109	44
Cercidiphyllum	55.8	48.6	-109	44
Glyptostrobus	55.8	50.3	-108.051102	44.299419
Platanus	55.8	50.3	-108.051102	44.299419
Populus	55.8	50.3	-108.051102	44.299419
Alnus	55.8	50.3	-108.184769	44.423599
Ampelopsis	55.8	50.3	-108.184769	44.423599
Cercidiphyllum	55.8	50.3	-108.184769	44.423599
Glyptostrobus	55.8	50.3	-108.184769	44.423599
Metasequoia	55.8	50.3	-108.184769	44.423599
Ulmus	55.8	50.3	-108.184769	44.423599
Cercidiphyllum	55.8	50.3	-108.137177	44.435989
Glyptostrobus	55.8	50.3	-108.137177	44.435989
Carya	55.8	50.3	-108.137177	44.435989
Metasequoia	55.8	50.3	-108.137177	44.435989
Metasequoia	55.8	50.3	-108.220711	44.446411
Salvinia	55.8	50.3	-108.220711	44.446411
Alnus	55.8	50.3	-108.071724	44.354496
Glyptostrobus	55.8	50.3	-108.071724	44.354496
Metasequoia	55.8	50.3	-108.071724	44.354496
Salvinia	55.8	50.3	-108.071724	44.354496
Ulmus	55.8	50.3	-108.071724	44.354496
Ampelopsis	66	63.3	-108	44
Carya	66	63.3	-108	44
Cercidiphyllum	66	63.3	-108	44
Cissus	66	63.3	-108	44
Metasequoia	66	63.3	-108	44
Taxodium	66	63.3	-108	44
Ampelopsis	63.3	61.7	-109	44
Carya	63.3	61.7	-109	44
Cercidiphyllum	63.3	61.7	-109	44
Cinnamomum	63.3	61.7	-109	44
Cornus	63.3	61.7	-109	44
Magnolia	63.3	61.7	-109	44
Ampelopsis	61.7	56.8	-109	44
Carya	61.7	56.8	-109	44
Cercidiphyllum	61.7	56.8	-109	44
Glyptostrobus	61.7	56.8	-109	44
Meliosma	61.7	56.8	-109	44
Nyssa	61.7	56.8	-109	44
Equisetum	55.8	50.3	-108.588997	44.186131
